ANTECO_SP,Negros_shrimp_farm,NSF_ANTECO_PR
0.256336965,0.265975887,0.239777259
0.060421912,0.027735894,0.056518577
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.015300818,0.003239416,0.014312365
0.21023135,0.173454292,0.196650128
0.446649268,0.321361478,0.417795137
0.560383091,0.440876071,0.524181606
0.624179641,0.536779105,0.583856814
0.580918018,0.661957305,0.543389949
0.608398313,0.615648848,0.569094981
0.557798949,0.708167454,0.521764402
0.451955193,0.589463446,0.422758292
0.360567308,0.443700535,0.337274185
0.203956922,0.256981699,0.190781036
0.024668802,0.036897128,0.023075165
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.006238572,0.004016878,0.005835552
0.089769416,0.202057658,0.083970194
0.401108451,0.435697189,0.375196317
0.732190954,0.62634453,0.684890454
0.745801305,0.753473954,0.697621559
0.799291251,0.820350082,0.747655984
0.303617082,0.820345626,0.284003019
0.397965578,0.812376885,0.372256477
0.093804197,0.700119019,0.087744322
0.033863056,0.524327243,0.031675458
